Emotion,Text
joy, ka thlalak chu tha deuhin a rawn chhuak thei hram e
joy, thiante nen an in fiam anih kha
joy,zanin chu khua a nuam khawp mai
sadness, tinge ka thil neih te an bo vek a
sadness, a pass te zingah ka hming a awm lo
joy, ka unaunu in min rawn tlawh hlawl mai
joy, ka hna atang ka haw ve thei ta
joy,vawiin hi kan in tawn ni ania
fear, khaia min va han su teuh mai mai ve
joy, mumang tha deuh ka nei
fear,ka mitah min en rawh kawngaihin min hlau suh
neutral,  ho ve
neutral, vawi sawmli na
neutral, ka hmu e
joy, christmas a lo hnai leh tawh ve
neutral,aw ka hmu e
joy,ka lehkha ziah chu an publish dawn anih chu
anger,mi mawl te vanga ka fapa a thi chu ka thin a va tirim tak em
sadness, follower pakhat lek neih chua a nuam vak lo
anger, ruah sur chu a va ninawm e  min ti tlai phah dawn
sadness,ka beiseina chu a kehdarh der mai a
joy,aw a va mawi e
joy, doctor hmuh ka va chhak tawh e
sadness, christmas lai pawn enge tih tur ka hrelo
joy, christmas laia thiante nen awm ho hi ava nuam tak
joy, ka hahchawl veng veng teh ang
joy, kan classah ka ti tha ber
anger, ka pawisa tunge la
joy, kan in kawm ho dawn
joy, class zawh hun ka va chak tawh em
neutral, kum 32 ka nia
joy, putara chuan min hmuh chuan a hlim hle
joy, hlim deuhin i awm ho dual dual ang u
joy, kan nu nen kan leng mai mai
fear, a thaw miah loa ania a lungphu kha en dik teh u
fear, mahni chauhin hmelhriatlohte inah ka awm alawm le
joy, hlimna hi i thehdarh dial dail ang u
fear, ka thil chah chu a bo ka va hlau e
sadness, ka pu a boral a
joy, mahni duh duh tih theih hi chu a nuam a nia
sadness, ka nu tlawh thei ila ka van ti tak
joy,i lakah kan lawm lutuk ania aw
joy, vawiin chu thil tha deuh a thleng alawm le
joy, ka nu in kawrlum min phiar sak a
anger,zin laiin min rawn be sek a min  ti thinrim alawm le
fear, tinge he thiang hlira a awm le a va pawi tak em
joy, engtik lai pawn nuh hram hram tum tur ania
sadness, ka bialpa nen kan inthren
neutral, keimah maw	
fear, i va hlauhthawn hmel ve i tha maw
joy, ka van han puar tak em
joy,he flim hi i hmuh ve chak kan ringa kan rawn sawm che anih hi
joy, tb a nilo hlauh mai a va nuam em
fear, ka cancer ang tih ka hlau e
joy,christmas lai tluka nalh hi a awm lo
fear, kha zet chu an va hlau hlawm ve
anger, ka haw veleh min hau a min ti thinrim alawm le
anger, ka threnawmte thluka ngei ka neilo
anger, tinge min chhan duh miah loa 
joy, tukchhuan nuam vek a che u
joy, a tawpah chuan kan in hmu leh thei hram e
anger, thinrim lutuka a trah a chhuak zawk alawm le
sadness, mahni duhloh zawng tih te hi a ngaih chhang a awm a nia
sadness, ka ui a thi
fear, i va han ngeiawm ve le
joy, class kan let ve thei ta
joy, christmas hla ngaithla ang aw
joy, ka thian hlui deuh a rawn leng a kan in bia alawm
fear, thil puan an neih apiangin ka trih ruai ruai thin
sadness, ka in sawi a ngai dawna ka awmna hi ka ngai dan khawp mai
neutral, min lo hrethiam lawk
fear, hlauh lo i tum dawn nia
sadness, ka thlinglo hlauh mai a va pawi e
fear, ka fail ang tih hi ka hlau thin
joy, ride ang u
fear, bus ka nang hmanloang tih ka va hlau ve
joy,tun hun lai vel hi ka duh tawp
anger, ni zan chungchang min zawt suh  zan zawng zawnga ka huat ber ala ni
joy, ka pass ta
sadness, a va pawi thin e
joy, vawiin chu ka hlim ve hlauh chu
joy, zan tui takin ka mu ve hlauh mai
joy, nimin kha i va che nuihzat thlak tak
sadness, tun semister chu ka ti thalo khawp mai
joy, class ka sawn thei hi ka va lawm tak
sadness, concert ticket kan chan velo alawm
joy, engmah tih tur neihloh hi chu a thawven thlak khawp mai
sadness, ka unaunu pi a thi
joy,  a unaunu in mothian a tan min sawm a ka va lawm tak
joy, ka unaupain mopathhian atan min hmang alawm
fear, hmelhriatloh ramah kan awm
joy, hma deuha ka tho ve hlawl mai
sadness, ka film duh ber a tawp deih alawm le
joy, ka zirtirtu chu ka thiannu a lo ni hlauh a alawm awm khawp mai
anger, mahni aiia chaklo zawkte puih an tum lo hi chu an ngeiawm kawpmai
anger, a eitur ah chil chhah ka chak kawp mai
sadness,chak hmel viau mah ila ka rilru a na ve thei ania
joy, chaw ei tui ve
anger, engmah tih dan tur pawh min hrilhloin tirawh min han ti ringawt hi chu a thinrim thlak khawp mai
fear, hmelma te an rawn kal ang tih hi a hlauhthawn awm khawp mai
joy, room tihfai a hun e
joy, ka rawn letleh hun ka nghakhleh khawp mai
fear, mahni chauh awm laia ramhuai thanthu han chhiar hi chu leh
fear, ramhuai flim en hnu hi chuan zanah pawh kan chhuak ngam hauh lo mai a
sadness, thanthu te anga nun thei hi ava chak awm tak em
sadness, nu leh pate inhnial hi chu a va nuamlo tak em
anger, ka pe vek tawh hnuah pawh min man an la tum hram chu le ka va hnek chak em
joy, min la hreve chu ka van lawm
neutral, i ti thei e
joy, ka dam nge damlo kan hriat theih ni chu alo thleng ta e
sadness, mahni duh zawnglote nena an awmdun tur chu ka khawngaih e
joy, hla nalh deuh hi chu rilru a cham veng veng zel
anger,ka mamawh tawhlo hnuah a rawn thleng ve chiah
joy, i piancham kan lawmpui a che
anger, tunge ka chungchang diklo deuha lo thehdarh tu hi
fear, thlawhtheihna ah hlau miah loa chuan ve hi ka chak
joy, an neih laiin lei vat vat ang
joy, haw veleha zawh te han hmuh tluk hi a awm lo
joy, a vawikhatnan ka in hmu ve thei ta
anger,i ninawm duhleh mahni in haw deih rawh
fear, khaia a rukte a thil tih a ngai dawn anih hi a
sadness, engtikah mah ka kalsan thei dawn lo anih hi
fear, ka chhanna hmuh pawh ka huphur khawp mai
joy, vawiinah mithar an rawn lut dawn
anger, ka hmuh apiang che hi ka sa phut zel
sadness, ka bialnun a rukin min lo rel a ni awm e
joy, vawiin zet chu ka va lang tha em
sadness, hun kal tawh te ka ngaihtuah leh veng veng alawm le
anger, enge tunah i duh a tihtur i hrelo ami
fear, kalpui tur ka neilo ang tih ka va hlau e
fear,min ti zam ruai ruai mai a
anger,ngawi hmak rawh hmela 
anger, an va mawl e zuk chhuka thil tih dan tur hrilh ka va chhak tak
fear,ka thiannu awm dan chu min va tinuam lo tak em
sadness, vawi nga lai min bem alawm
sadness, a khawngaihthlak awm khawp mai
joy, intlanni a niah mi tha deuh kan thlan a rinawm
sadness, heibak chu engmah ka hriatbelh theih tawh pawh ka ring lo
sadness, vawiin kan in hmuh tawp ni tur a ni ta
joy, ka duh ka nei thei trep ta
sadness,tipalh mahse pawisa chiah kan dawng thei a
neutral,ni lo e
joy,mi fiam i van peih mai mai tak em
joy, ka duh che min tih chuan ka hlim veng veng  zel
neutral, e anih tak chu
joy, lawmman dawng turin min thlang hlauh mai
joy,chungten thawmhnaw min rawn thawn hlawl mai
sadness, oi ka kawr ka ha tawk tawh lo
anger,anih chuan i duh leh vawiin ah kan sawi fel vek dawn nia
joy, in tih fai te hi a nuam a nia
sadness, ka hmelhriat awm chhun an sawn daih alawm le
sadness, he khawvel hi a lungngaih thlak ania
fear, khaia an in hmuh chu ka va huphurh ve
neutral, aw le
fear, a bula awm a nuam viau chung hian min ti hlauthawng thin
joy, ka lawpui lutuk che aw
sadness, ka nu hlim deuha a piancham hmantir ka duh anih loh chuan a lung ngai zel
neutral, car ka khalh mek
fear, hlau loiin ti tawp zel rawn anih loh chuan engmah i thi thei miah lo mai ang
sadness, ka pa ka va ngai tak em
anger, tunge ka thil khawih che u
fear, min melh dan kha min ti khur zawih zawih mai
neutral, thianna
joy, pawisa a thlawnin kan dawng dawn
fear, kan va accident teuh vele
sadness, i inkhel lai ka hmu chhak a sin le aw
joy, van veng team an chhak
sadness, ka puh a pawi khawp mai 
joy,ka thil tih theihloh ka ti thei tur hi ka lawm khawp mai
joy, ka mi duh tak ten min rawn duh let ve a alawm le
anger,kan in sual a lawm le
sadness, thanthu tawp dan chu min ti nuamlo huih alawm le
joy, kum nga chung ka hmuh tawh loh  hnuah ka unau pa ka hmu leh thei chu ka lawm hle mai
anger,zir hrep hnuah an cancel deih chu min ti lungawi lo khawp mai
sadness, a lungngaih zia kha chu aw a aw ah pawh a hriat theih alawm le
joy, tingpui leh chhang i ei ang u
fear, thu sawi a ngai a ka zam khawp mai
anger, biak theih miahloa in awm chu le zawngi
sadness,mi tam tak lungngai deuhin an awm alawm 
fear, khaia naktuk ah a rawn thleng dawn ka va hlauthawng tak
sadness, ka nun buai zia hi chu aw
joy, nipui laiin a nawm zia ka lo hria a
joy, ka nu thilpek ka pe a  alawm khawp mai
sadness, ka ui a damlo a damdawi inah ka hruai dawn
anger, min bum chule chu nu zet chu
neutral, ka hrethiam e
joy, kan thanpui theichieu hi chu kan lawm hle mai
sadness, ka pa a boral ta
anger, ka naupamg laka an thil tih chu a va tenawmin min va han ti thinrim ve
sadness, kumin a ni hreawm ber ka hmang mek
fear, naktuk a karen tha hram se ka van ti tak em
fear,khai a min ti phu alawm le
sadness, kawiah neg ka dah deih le
sadness, i nun ho deuha i hmanloh ka beisei
joy, hmanlai huna kan thin tih ka hriatchuah hian ka va in chhuang thin tak em
joy, biak tur awm loh chuan mut leh deih hi a numa ania
sadness, mi lungngai i hmuh chuan biak i lo tum thin dawn nia
joy, hmangaihna hi khawvela thil pek tha ber a ni
sadness, high school ka va ngai tak
joy, naktukah dam takin kan in hmu leh dawn nia
neutral, tu nge i nih ve le
sadness, pawive min ti chhakloh phah alawm le
joy,pathian thu ngaihthlak hi chuan rilru a dam duh
anger, hlim hmel deuhin lang mahse a thinrim teh mai ania aw
joy, december kan thleng ta kum khata hun nuam ber pawh a hnai leh tawh
fear, hmalam hun lo thlegtur hi ka hlau ani
anger,a thinrim lutuk a a awm hle hle theilo anih saw
fear,thihna hi ka hlau
fear, vawileh khatah kawngkhar a in hawng thuta min tiphu nasa lutuk
sadness, thanthu tha tak chhiar tur ka va duh tak
joy, tunlai naupang ten hmanlai hla an ngaihtlak han hriat hi a va nuam tak em	
joy, ka project ka zo hman hram e
joy, i bula mi kha angel ang  mai alawm le
anger, kan hun hman ka ngaihtuah chang hian ka ngei thei khawp mai
sadness, milem ziak thiam ila ka van ti tak
joy, a ruk tein eitur min rawn pe a alawmawm khawp mai
sadness, a tan engmahlo mai ka lo ni anih hi
sadness, he thawnthu lungngaih thlak zia hi chu aw
joy, an fanu a rai tih an hriat chuan an lawm khawp mai
sadness, min kalsan lo hram teh ka la hmangaih reng che
fear, ramhuai thanthu chhiar laiin min rawn tih thraih alawm le
sadness, kan duhtakte min kalsan tawh te tan bati i lo chhem ang u
fear, naktuk i hlau loang u
joy, album thar i lei vat vat ang u
anger, ka thiannu thil an lo peih deih hi chu ka lawmlo khawp mai
fear, ni zan ka mumang chu a va hlauhawm vele
neutral, ka awm alawm
joy, class lak laiin mut deuh hi chua ava nuam tak
fear, fimkhur deuhin nung rawh khai
sadness, kan zirtirtu hlui ka hmu a hun kal tawh min ti ngai veng veng mai
anger, he khawl chhiat zia hi chu aw ka thil a ti chhe vek alawm
fear, mi in min rawn bei thut a ka pawisa min laksak
neutral, school ah ka awm 
fear, tu emaw in ka zing tlan laiin min zuiru a ka hlau lutuk
sadness, ka computer a chhe deih a lawm le
sadness, ka nu in  i thau lutuk min han ti mai chu leh
fear, ka thianten an lo ngaihtuah pui lutuk che a
anger, tunge ka thil ru zawng ho
joy, ka zin haw hunah ka nute pek tuk ka lei a
joy,kan exam chu ka ti tha khawp mai
fear, ka thin a phu nasa lutuk
fear, ka in sawm tuk chu ka huphurh e
joy, in eng hi a va mai tak em
joy,tui kan cheng dawn bik bik
sadness, bus ah khan awm mai mai ila a tha tur
anger,a thinrimna a in sum hram hram alawm le
joy,hlim takin i nun zel theihnan ka lo thawngthai dawn nia
joy, i duh chuan ka pe deih ang che
joy, nilengin ka thiante nen kan awm ho dawn
neutral, enge ni ta a
joy, ka thianpa thu sawi turin an sawm alawm
joy, a tawpah ka mu ve thei ta
joy, motor a kal theih hi chu a van nuam tak em
sadness, mi zawng zawng hi an sawi ang loh hlir an lo ni anih hi
anger, vawi tam tak hrilh hnu pawn min biak duhloh chu le
anger,a pi a ti thinrim vak alawm le
joy, ka pi te kan tlawh dawn a hei
joy, naupangte hlimna nih theih i tum ang u
joy, ka thrante an chhak thei hi ka va lawm tak
neutral,nilo e tinge
neutral, motor ka khal mek
joy, kan zirtirtu hi ka duh tawp
joy,saturday nuam deuhin kan hmang ang chu le
joy,han fiam mai mai che hi ava nuam tak
joy, ka huat deuh a kal bo ta a va nuam tak
joy, hna ka hmu hlawl mai a
anger, tinge he thil hi a thawh theih miah loah a ka va haw tak
joy, ka chawl ve thei ta
joy,thian te nen kan in ho ang chu
joy, nitin a ngai te bawkin le
sadness, ka nei loang tih ka sawi hman trep mai a
joy, ka haw ve ta tui deuhin kan mu teh ang
joy, kan christmas bazar dawn
joy, kan veng zawipawl an chak
joy, naktuk ah kan leng chhuak dawn
joy, christmas laiin chaw ei khawm kan nei dawn
joy, biak inah ruai kan threh mek
sadness, in tih cher ka ngai
joy, i pian ava nalh tak
joy,i thilpek ah kan lawm lutuk ania aw
sadness, ka chhak amaw ka tia mahse kan lo chhaklo lek a
joy,christmas laia bazar hi a nuam ania
joy, thiante nen inkhel kan en dawn
joy, dawrah chaw kan eikawm mek
anger, thatchhepa hnate hi thawk ve ta che
sadness,darkar nga chhung zai zir angai dawn
joy, hna kan dil teh ang
joy, hlimna zawng zawng lakah ka in hawng e
joy, nimin ah ka nu in pheikhawk thar min lei alawm
joy, christmas kung mai zia hi chu aw
joy, nilengin chaw ei rawng min bawlsak alawm le
sadness, a lungngai lutuk a sakhua naah a in pek phah alawm le
anger, min ti buai sek suh
neutral, nga
sadness,  ka chhungte an rawn zin leh dawn lo
anger, zingkar atranga threnawmte an bengchheng hi chu a va ninawm tak
joy, thil engkima ka lungawi e
fear, ka va huphurh ve
anger, ka thinrim thut alawm le
sadness,vawiin khua  a va nuam lo em em vele
joy, hei keini pawh kan phur khawp mai
fear, khawngaihin ti tha hram ila
joy, ekser lak hi a nuam ania
fear, ekin trawp deuh a luh hi chu a zamawm duh khawp mai
fear, ramhuai flim mahni in ka en alawm
fear,hmelma ten min rawn bomb ang tih kan hlau thin ania
joy, ka hmagaih ten mih kuah hi chuan a nuam veng veng zel
neutral, enga tan
joy, zanin chu a van nuam tak
sadness,thil lo th;emgtur hriat hi chuan a hrehawm duh khawp mai
sadness,in hmuh khawm leh theih hram i tum ang u khai
fear, in dona alo thleng ta
fear,hlauh nei suh u
anger,thinrim loh tum pawm in rawn ti buai sek le
anger, mi hnawl leh tho tur si min thlang loh tawp tur alawm hmel ho
neutral, anih leh u le
joy, zing hma deuh a tha takin kan in be leh dawn nia
joy,nilengin basketball kan khel dawn
fear, ti nge in va hlauhthawng hmel vea
anger,tinge engah eitur pawh an siam loha
joy, minute sawm hnuah ka rawn kal ang
joy, chhum zim hi a va nuam tak
fear, ngati nge ka chungchang an zah vak vak le ka ngaih a va ti thalo e
joy, ka flim duh ber a chhunzawmna an siam dawn
fear,mi ti trih ruai ruai mai
anger, a vak mak thin tak em
fear, thina hi tu pawn an hlau a nia
joy, vawiin ka hmuh thei che hi a nuam e
neutral,pawilo e
joy,tha takin i zir ang u
fear,ka ngaihtuahna hi ka hlau khawp mai
sadness, engtin nge ni dawn ka thil en duh a tawp daih
anger, ka haw ngawih ngawih che u
sadness, an thil puan chu a va thalo e
sadness, ka pa a damlo a
fear,hmu tawh lo thei hram ila ka va ti em
joy, kha nu chu a va hlim hmel ve
joy,a tawpah min rawn be ve ta
fear, hlau loin huaisen takin hmachhawn tum rawh
sadness, awlsam deuhin min kalsan a
sadness, min tlanbo san daih
anger,min tih dan chuh in chak lo khawp amg
joy,a hmu leh thei che chu a lawm lutuk
fear,tlanchhe ru
neutral, enge i duh zawk
sadness,min hmuh tawh suh ka hmu duh tawhlo
joy,film kan en ho dawn
fear,ka tlanchhe dawn ka hlau
anger, ka sawisa dawn che
fear, min ti hlauthawng ania aw
joy,a that hmel khawp alawm
joy, vawiin that beisei ang aw
sadness,ka tihpalh hmahse heiai tlawmin ka ti theilo
anger, ka kawr min laksak daih alawm le
joy,zanin chu film hmuhnawm deuh ka en dawn
sadness, ka chhungte ka va ngai tak em
joy,min rawn zawm thei tur hi kan va lawm tak em
joy, an thil siam chu min va han ti riltram ve a tui hmel lutuk
fear,tinge police zan laman an chet vakah ka awm a ti nuam lo tlat mai
fear,ka thlarau tan i hlau ami
joy, relah nuamsa deuhin kan chuang ang chu le
joy, finals vel pawh kan zo ve trep ta a nuam khawp mai
joy,darkar nga hnuah ka zo ve thei ta
joy, ka hm thiam ve ta
sadness, khua a nuam teuh a sin le
fear, a na dawn em
sadness, class zawh hnu ah pawh ka hahchawl hman lo
joy, yay min pe va e
joy,thiante nena leng ho dial dial hi ava nuam tak em
joy, a chhanna min ziah sak avaing ka lawm em em e
sadness, i thiam trep tawh ti leh hram hram rawh
joy, a hma thei ang bera thil tih hi a tha ania
sadness, tunkar chu ka chawl hman meuh lo
joy,ka chahbi ka hmu ve ta
anger, tinge engmah pawh min lei duhloh chu le aw
joy, zan mut hah chawlh tluka nuam a awmlo
joy, vawiin hun nuam tak kan  hmang e
sadness,mahni chiaha ka awm chang hian au vak mai hi ka duh thin
joy, i thusawi hi kei tluka phurpuitu hi an awmlo ang
neutral, nihleh le
fear,khawvela tan in lianber hi ka nuna ni hian ka hre thin
fear, a vawi khat nan ruang ka hmu ve a ka trih ruai ruai mai
joy, nuam deuha awmleh hun ka va nghakhlel tak
joy, vawiin hun nuam tak nei vek ang che u 
joy, a lawm lutuk a a trap zawih zawih mai alawm
joy, nun hi midangte nena hman ho hian a nuam ber a nia
joy,hemi zawh hunah vawi khat mah ka tih a ngai tawh lo
joy,zanin chu a nuam dawn hem hem hle mai
anger, tuman in duhlo alo nih hi hmelho
joy, ka pute nena hun hman ho hi anuam ania
anger, ka raipur laiin min tlanbo san deih chu le zawnga chu
sadness, a van pawitak ka remote ka hmu zo lo
joy,naktuk ka ngakhlel lutuk a ka mu theilo
sadness, a hreawm hmel tawp
joy, lalpa i lakah ka lawm lawm e
sadness,naupang ruang ka hmu a a khawngaihtlak khawo mai
joy, ka lehkhabu an tlangzarh ta
fear, lalpa puinain engmah hlauh ka neilo ang
joy, kumtawp kan thleng leh thei hi a lawmawm hle mai
neutral,ka chhuak lawk dawn
joy, hriselna lampang lehkhabu chhiar hi a tha ania
sadness, engmah hrethiamlo mah ila pathian thu hnuaia awm vek ani
sadness, cancel lo hram se ka va ti tak
neutral,lehkha bu ka chhiar
fear, thahrang hlim ka en dawn
anger,an thil tih dan chu a va tenawm em em ve
joy, khua chu a va lum nuam ve
fear,nilenga chet theiloa awm chua a rapthlak lutuk
joy,vawiin chu a tha khawp mai a
anger, tinge mi i sawisak vak vak a
joy,ka thil tih theihloh te ka ti ve thei dawn ta
sadness, mi fate ang nih ve ka va chak tak
fear, khawngaihin ka min lo en ngei ngei rawh aw i enlo ang tih ka hlau ania
anger, sam met tu pa chu awww
anger,ninawm khawpin i trawng alawm le
joy, tlangte mawi zia hi
neutral, ka intiam e
anger,prime minister thil puan chu ka pawmpui ve hauhlo ania	
sadness, min ring se ka van ti tak em
sadness,ka tipalh tak zet ani
sadness, reideuh nghah hnuah a rawn thleng ve meuh chuan a ho zo vek
joy, pathian chu pathian ani reng a va ropui em
fear,naktuk ka hlau lo a chhan chu vawiin hi a hlimawm ani
joy, ka duhber anih kha
fear, thi lo se ka va ti ve
joy,eitur ka zawng hmu hlauh mai a
joy, ka ti ve hun a thleng trep tawh ka phur lutuk
fear, hlauloin kal zel ru
neutral, pathian thu ka ngaithla
sadness, ka phone a chhe deih ania
joy,pathian in tranpui tu tur che a rawn pe dawn che alawm
sadness, ka pi a thi ta
joy, zaitu chu a thiam hle mai
sadness,mahni leh mahni i inti lungngai mai mai ani
sadness, khawngaihin tleng ve hman hram ila
anger, i va hna tenawm hlawm ve
fear, thlahrag inah ka lut ngamlo ka tih ka tih kha
neutral, nilo e
joy, nail polish pherh miahloa hnawih theih hi a va  nuam tak
anger, min tih danah kan lawmlo khawp mai
fear, ka va hreh tak em
anger, dawtsawiah min han puh chu le 
joy, pawisa ka dawng hlawl mai a
sadness, ka kalsan tur hi ka lungngai
anger, zawnga
joy, he flim nuihzatthlak zia hi
joy, ka thiltih a ka hlawhchham dawn amaw tih hnuah ka hlawhtling hlawl mai
joy, zan zinkual mai mai dawn 
neutral,i thiam em em ang hlau suh
sadness, ka nun hei aia hrehawm theih ka ringloh nen nen 
fear,nakna chu an thehdarh ang tih a hlauhawm khawp mai
joy,zanin chu i tran ang aw
joy, lengchhuahpui tur ka nei bik
joy,hlimna hi lo kal zel rawh se
fear, misual rualin min um vak alawm le
joy, mi fiamthu ka ngaithla mai mai
neutral, nang maw
fear, ka upgrade ngamlo e a
fear, a awm a trihawm zia kha
joy, christmas hla chu a va mai vele
fear, kangmei chhuak chua ava den ve le
fear, hlauloin awmhahdam rawh
joy, hna thawhleh ka va chak em
joy, thu ka sawi thei hi ka lawmtak zet ani
fear, tinge a va kang nasa ve a
joy, tingpui tui deuh in hi a nuam ania
fear, chaw pawh a ei thei tawhlo a ka hlauthawng e
sadness, ka pi ka va ngai tak em
anger, tinge tianga i awm a ka eing hlek lo che ania aw
joy, tuna hlasak mawi zia kha
fear, mi thar te nena thawhho a ngaih hi chuan a zam awm duh teh mai ania
fear, hlauhna in i nun kaihruai ngai suh
joy, thla tawp kan thlengleh thei hi lawmthu i sawi ang u
joy, lawmna chu buaina neihloh nun hi a ni
fear, hmun thara in sawn hi chu a zamawm duh ania
sadness,nia maths hi ka thiamthei thlawt lo
joy, sikul ah kan let leh thei ta
sadness, an inthren chu a va pawi ve
anger, nikhatna atranga inhrem nghal chu a va ninawm ve
sadness,chak dawn veleh a haw daih zel 
neutral, mi kan zawt ange
joy, christmas kung kan chei dawn
fear, khaw dur chhunga thlawh chu kan hlauthawng ve khawp mai
joy, kan fa piangtur hi kan lawmpui tak zet ani
joy,ka nun hi pawimawhna min pek avangin ka lawm e
joy,christmas a mahni nu leh pate nena hmang theih hi a tha ania
joy, hla nalh deuh i ngaithla duh em
joy,nia midangte tranpui theitu an awm hi a tha ania
joy, in nun in pho ngam hi a ropui khawp mai
joy, pakhatna i ni a nia
joy, a ropui tawp mai a
neutral, ti maw
anger, hi thupuan hi do thlat ru
joy,ka thil neihte chhiar hi a tha ngai e
sadness, tinge hma deuhah trul lo deuhin ka thawh le
neutral, awle
joy, vawiin pawh nuam thei ang berin hmang ang che
joy, a tawpni kan thleng thei hi a ropui hle mai
joy,hlimna hi sual anilo chuvangin nuih reng tur
joy, ka lawm e mahse ka tilo law law mai ang 
joy,ka nuaten thrian an siam ve ta
joy, krismas chawlh kan hmang ve thei ta
fear,miin min rawn vau vak ringawt alawm le
joy, pawisa i siam leh hem hem mai ang aw
sadness, bawng hnute a awm tawhlo anih hi
joy, thusawi hmasa ber kan ngaithla thei hlauh mai
fear, timge i va ngawi ve i tha  maw
sadness, ti thei hlauh se aw
neutral, maw
joy, pawisa lamah buailoh hi ava nuam tak
fear, bike a khalh chak lutuka min ti hlau alawm
fear,bike chak deuhin khal lo hram rawh aw
sadness, ka hmangaihte ka kalsan a ngai dawn anih hi
sadness, khawnge a awm deih le aw ka hmu zo miah lo
anger, i va hna dawih tak nepa
joy, a kalsan hnuah a hlim deih zawk
anger, an thil fak chu a va tenawm ve
sadness, mahni hi ka inring thei thlawt lo
joy, chawlh hnuah hna i thawk leh ang u le
joy,khawvel ropui leh mawina anih hi
joy, in tha maw
anger,min ring thei miah lo hi min ti thinrim
anger,thinrim deuhin min thlir reng alawm
joy, ka kekawr ipte ah pawisa ka hmu hlawl mai
fear, tu mah min puitutur an awm lo hi chu a zamawm ve det
sadness, tumah ka piancham min lawmpui tu tr pawh an awm lo
joy,arsi te tlet mai zia hi
neutral, kum nga ka ni
joy,vawiin chu ni tha ber nilo mahse ni chhe ber ani biklo e
fear, oi exam chu ka va trih tak em vele
fear,hlauhna hi kan nunah pawh pawimawhna an nei ania
joy,lampui turin ka sawm thei che em
anger,khaw lum chu a ve hrehawm ve le
fear, zan ka haw apiangin chhak deuhin ka kal ziah
sadness, ka zawi zia hi chu aw
joy, inkhelh zan anih hi
joy, an pet goal e
joy, thlasik khua chu anuam hle mai
sadness, khaia message ka va dawng hnem ve
anger, chhan awmze neiloin min ban tawp alawm le
sadness, flim chu a lungchhiat thlak hle mai
joy,a changchuan chaw te aiin nuihna te hi kan mamawh zawk ania
fear, zan ka haw lamah rul a rawn chhuak thut mai alawm
joy, ka bialnu nen kan in bia alawm le
fear, hlauhna nena nung reng mai hi nun tak tak ani lo
joy, atawp a tawpah maths ka pass ve ta
joy, hmasawn dan min zirtir teh
sadness,ka thil en chak exam lai laiim a rawn chhuak alawm le
neutral, aw
fear, cancer ang tih ka hlau ania
joy, ka cancer lo hlauh e
sadness, ka pen ka tibo daih alawm
anger,tinge min lo dangloh a pawi zo vek ta
anger, hetah a rawn kal a ngai hi a lungawi lo khawp mai
neutral, flim ka en
joy, naupang te nena hun hmang ho hi a nuam ania
sadness, i teloa nun hmang chu a va hrehawm ve
joy, ka thiante nen kan in rem ve ta
sadness, ka nupui in ka fate a hruai bo deih alawm
sadness,ka nun hi a tawp dawn hian ka hre thin
joy, pathian hian min rawn bia in ka hre thin
joy, naute a nui uar uar mai
sadness, ka hmangaih che a sin le
sadness,nuan lo viau mahse tih hram hram a ngai ania
sadness,i ngaihtuahna te kha thlalak angin ngaihtuah rawh
joy, miten hla mawi takah an sak hi a mawi ania
joy,krismas flim kan en dawn
joy,nia ka duh lutuk
fear, miin anchhia min hlawhin ka hre thin
fear,ransa te an thihrem loh nan hma lak a trul anih hi
joy,krismas hla kan zir ho dawn
joy, mite hla ka zirtir thei hi ka lawm ani
fear, ka zo hman dawnin ka hrelo ani
fear,ka paper ka hmu sual a ka fail amaw ka ti hman alawm
sadness,khawvel a chhiat loh nan i tawngtai ang u
sadness, nimin kan in kel chu ka chak lo alawm 
neutral, flim ka en mek
sadness, kan lecturer in min duhsak lo lutuk
joy,khawvela ka mi ngaihsang berte zinga mi i ni
sadness, ka nun hi ka pawm mai a hun tawh ani
joy,krismas kung pawh kan chei mai zo chiah e
sadness, ka pa sumdawngna a tla chhia alawm
joy,ka tetlaia ka thanthu duh ber ka hmu leh hlauh e
anger,min va hmusit ve a
joy,naktuk chu a ropui khawp ang
anger,ka va ngei hlawm tak em
sadness, ava pawi ve
sadness, kan chhunchaw pawh kan ei hman meuh lo
joy, message min thawn zawng zawng ah kan lawm em em e
joy, nikhata hun nuam ber kan thleng leh ta
joy, in eng mawi deuh ah khan kan awm
anger, ka in hi ka va haw tak
fear, a hmel a hmuh hnua a hlauh zia kha
joy, hlim deuhin i tawngtai ang u
joy, min zirtir thei hi ka lawm em em e
fear, an la man lo a nia fimkhur ru
joy, vawiin chu hun tha deuh kan hmang dawn anih hi
joy, a hmasa berah kei aiin sang zawk ka tum dawn
joy, zu a awm chuan a nuam em em vek ania
neutral,hna ka thawk mek
anger, ka car an rawn su alawm mimawl ho chu
anger,mi zawng zawngah ka ngei ber che
anger, nangmah nen buaina kan nei ania
anger, ka la sawisa khawp ang che
joy, ka pass thei hlauh chu a lawmawm khawp mai mi an fail tam sia
sadness,natna vangin ka duh ber pawh ka hmu theilo
sadness,ka pa a hna atranga a ban hnuah ka pute a thi alawm le
anger, ka hnuah min lo rel thin tih ka hriat kha chuan
anger, ka buai lutuka ka thiannuu nen pawh ka hmu hman lo a ninawm lutuk
joy, ka lo nghakhlel thei khawp mai che
joy, haw velah ka in bual ngal dawn
anger, thil engemaw ti chhiat ka chak
